value,period,region,indID,dsID,source,is_number
1,2004,CAF,RW002,reliefweb,ReliefWeb,1.0
1,2005,CAF,RW002,reliefweb,ReliefWeb,1.0
0,2006,CAF,RW002,reliefweb,ReliefWeb,1.0
1,2007,CAF,RW002,reliefweb,ReliefWeb,1.0
0,2008,CAF,RW002,reliefweb,ReliefWeb,1.0
2,2009,CAF,RW002,reliefweb,ReliefWeb,1.0
0,2010,CAF,RW002,reliefweb,ReliefWeb,1.0
3,2011,CAF,RW002,reliefweb,ReliefWeb,1.0
3,2012,CAF,RW002,reliefweb,ReliefWeb,1.0
3,2013,CAF,RW002,reliefweb,ReliefWeb,1.0
0,2000,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2001,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2002,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2003,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2004,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2005,CIV,RW002,reliefweb,ReliefWeb,1.0
1,2006,CIV,RW002,reliefweb,ReliefWeb,1.0
1,2007,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2008,CIV,RW002,reliefweb,ReliefWeb,1.0
2,2009,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2010,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2011,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2012,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2013,CIV,RW002,reliefweb,ReliefWeb,1.0
0,2000,CMR,RW002,reliefweb,ReliefWeb,1.0
0,2001,CMR,RW002,reliefweb,ReliefWeb,1.0
0,2002,CMR,RW002,reliefweb,ReliefWeb,1.0
1,2003,CMR,RW002,reliefweb,ReliefWeb,1.0
0,2004,CMR,RW002,reliefweb,ReliefWeb,1.0
0,2005,CMR,RW002,reliefweb,ReliefWeb,1.0
0,2006,CMR,RW002,reliefweb,ReliefWeb,1.0
1,2007,CMR,RW002,reliefweb,ReliefWeb,1.0
1,2008,CMR,RW002,reliefweb,ReliefWeb,1.0
2,2009,CMR,RW002,reliefweb,ReliefWeb,1.0
1,2010,CMR,RW002,reliefweb,ReliefWeb,1.0
1,2011,CMR,RW002,reliefweb,ReliefWeb,1.0
2,2012,CMR,RW002,reliefweb,ReliefWeb,1.0
2,2013,CMR,RW002,reliefweb,ReliefWeb,1.0
0,2000,COD,RW002,reliefweb,ReliefWeb,1.0
1,2001,COD,RW002,reliefweb,ReliefWeb,1.0
1,2002,COD,RW002,reliefweb,ReliefWeb,1.0
2,2003,COD,RW002,reliefweb,ReliefWeb,1.0
0,2004,COD,RW002,reliefweb,ReliefWeb,1.0
1,2005,COD,RW002,reliefweb,ReliefWeb,1.0
2,2006,COD,RW002,reliefweb,ReliefWeb,1.0
1,2007,COD,RW002,reliefweb,ReliefWeb,1.0
3,2008,COD,RW002,reliefweb,ReliefWeb,1.0
1,2009,COD,RW002,reliefweb,ReliefWeb,1.0
3,2010,COD,RW002,reliefweb,ReliefWeb,1.0
1,2011,COD,RW002,reliefweb,ReliefWeb,1.0
3,2012,COD,RW002,reliefweb,ReliefWeb,1.0
1,2013,COD,RW002,reliefweb,ReliefWeb,1.0
0,2000,COG,RW002,reliefweb,ReliefWeb,1.0
0,2001,COG,RW002,reliefweb,ReliefWeb,1.0
0,2002,COG,RW002,reliefweb,ReliefWeb,1.0
0,2003,COG,RW002,reliefweb,ReliefWeb,1.0
0,2004,COG,RW002,reliefweb,ReliefWeb,1.0
0,2005,COG,RW002,reliefweb,ReliefWeb,1.0
1,2006,COG,RW002,reliefweb,ReliefWeb,1.0
1,2007,COG,RW002,reliefweb,ReliefWeb,1.0
0,2008,COG,RW002,reliefweb,ReliefWeb,1.0
0,2009,COG,RW002,reliefweb,ReliefWeb,1.0
0,2010,COG,RW002,reliefweb,ReliefWeb,1.0
2,2011,COG,RW002,reliefweb,ReliefWeb,1.0
2,2012,COG,RW002,reliefweb,ReliefWeb,1.0
1,2013,COG,RW002,reliefweb,ReliefWeb,1.0
1,2000,COL,RW002,reliefweb,ReliefWeb,1.0
0,2001,COL,RW002,reliefweb,ReliefWeb,1.0
1,2002,COL,RW002,reliefweb,ReliefWeb,1.0
1,2003,COL,RW002,reliefweb,ReliefWeb,1.0
3,2004,COL,RW002,reliefweb,ReliefWeb,1.0
5,2005,COL,RW002,reliefweb,ReliefWeb,1.0
2,2006,COL,RW002,reliefweb,ReliefWeb,1.0
2,2007,COL,RW002,reliefweb,ReliefWeb,1.0
8,2008,COL,RW002,reliefweb,ReliefWeb,1.0
5,2009,COL,RW002,reliefweb,ReliefWeb,1.0
2,2010,COL,RW002,reliefweb,ReliefWeb,1.0
3,2011,COL,RW002,reliefweb,ReliefWeb,1.0
2,2012,COL,RW002,reliefweb,ReliefWeb,1.0
3,2013,COL,RW002,reliefweb,ReliefWeb,1.0
0,2000,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2001,DJI,RW002,reliefweb,ReliefWeb,1.0
1,2002,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2003,DJI,RW002,reliefweb,ReliefWeb,1.0
1,2004,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2005,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2006,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2007,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2008,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2009,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2010,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2011,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2012,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2013,DJI,RW002,reliefweb,ReliefWeb,1.0
0,2000,DOM,RW002,reliefweb,ReliefWeb,1.0
0,2001,DOM,RW002,reliefweb,ReliefWeb,1.0
0,2002,DOM,RW002,reliefweb,ReliefWeb,1.0
2,2003,DOM,RW002,reliefweb,ReliefWeb,1.0
1,2004,DOM,RW002,reliefweb,ReliefWeb,1.0
0,2005,DOM,RW002,reliefweb,ReliefWeb,1.0
0,2006,DOM,RW002,reliefweb,ReliefWeb,1.0
0,2007,DOM,RW002,reliefweb,ReliefWeb,1.0
1,2008,DOM,RW002,reliefweb,ReliefWeb,1.0
2,2009,DOM,RW002,reliefweb,ReliefWeb,1.0
2,2010,DOM,RW002,reliefweb,ReliefWeb,1.0
2,2011,DOM,RW002,reliefweb,ReliefWeb,1.0
1,2012,DOM,RW002,reliefweb,ReliefWeb,1.0
0,2013,DOM,RW002,reliefweb,ReliefWeb,1.0
0,2000,DZA,RW002,reliefweb,ReliefWeb,1.0
1,2001,DZA,RW002,reliefweb,ReliefWeb,1.0
1,2002,DZA,RW002,reliefweb,ReliefWeb,1.0
1,2003,DZA,RW002,reliefweb,ReliefWeb,1.0
2,2004,DZA,RW002,reliefweb,ReliefWeb,1.0
0,2005,DZA,RW002,reliefweb,ReliefWeb,1.0
2,2006,DZA,RW002,reliefweb,ReliefWeb,1.0
2,2007,DZA,RW002,reliefweb,ReliefWeb,1.0
1,2008,DZA,RW002,reliefweb,ReliefWeb,1.0
0,2009,DZA,RW002,reliefweb,ReliefWeb,1.0
0,2010,DZA,RW002,reliefweb,ReliefWeb,1.0
0,2011,DZA,RW002,reliefweb,ReliefWeb,1.0
0,2012,DZA,RW002,reliefweb,ReliefWeb,1.0
0,2013,DZA,RW002,reliefweb,ReliefWeb,1.0
0,2000,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2001,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2002,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2003,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2004,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2005,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2006,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2007,EGY,RW002,reliefweb,ReliefWeb,1.0
1,2008,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2009,EGY,RW002,reliefweb,ReliefWeb,1.0
1,2010,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2011,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2012,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2013,EGY,RW002,reliefweb,ReliefWeb,1.0
0,2000,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2001,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2002,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2003,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2004,ERI,RW002,reliefweb,ReliefWeb,1.0
1,2005,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2006,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2007,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2008,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2009,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2010,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2011,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2012,ERI,RW002,reliefweb,ReliefWeb,1.0
0,2013,ERI,RW002,reliefweb,ReliefWeb,1.0
1,2000,ETH,RW002,reliefweb,ReliefWeb,1.0
0,2001,ETH,RW002,reliefweb,ReliefWeb,1.0
1,2002,ETH,RW002,reliefweb,ReliefWeb,1.0
1,2003,ETH,RW002,reliefweb,ReliefWeb,1.0
0,2004,ETH,RW002,reliefweb,ReliefWeb,1.0
1,2005,ETH,RW002,reliefweb,ReliefWeb,1.0
2,2006,ETH,RW002,reliefweb,ReliefWeb,1.0
2,2007,ETH,RW002,reliefweb,ReliefWeb,1.0
2,2008,ETH,RW002,reliefweb,ReliefWeb,1.0
0,2009,ETH,RW002,reliefweb,ReliefWeb,1.0
1,2010,ETH,RW002,reliefweb,ReliefWeb,1.0
1,2011,ETH,RW002,reliefweb,ReliefWeb,1.0
1,2012,ETH,RW002,reliefweb,ReliefWeb,1.0
2,2013,ETH,RW002,reliefweb,ReliefWeb,1.0
0,2000,GIN,RW002,reliefweb,ReliefWeb,1.0
1,2001,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2002,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2003,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2004,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2005,GIN,RW002,reliefweb,ReliefWeb,1.0
1,2006,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2007,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2008,GIN,RW002,reliefweb,ReliefWeb,1.0
2,2009,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2010,GIN,RW002,reliefweb,ReliefWeb,1.0
1,2011,GIN,RW002,reliefweb,ReliefWeb,1.0
1,2012,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2013,GIN,RW002,reliefweb,ReliefWeb,1.0
0,2000,GMB,RW002,reliefweb,ReliefWeb,1.0
0,2001,GMB,RW002,reliefweb,ReliefWeb,1.0
0,2002,GMB,RW002,reliefweb,ReliefWeb,1.0
1,2003,GMB,RW002,reliefweb,ReliefWeb,1.0
1,2004,GMB,RW002,reliefweb,ReliefWeb,1.0
1,2005,GMB,RW002,reliefweb,ReliefWeb,1.0
0,2006,GMB,RW002,reliefweb,ReliefWeb,1.0
1,2007,GMB,RW002,reliefweb,ReliefWeb,1.0
1,2008,GMB,RW002,reliefweb,ReliefWeb,1.0
2,2009,GMB,RW002,reliefweb,ReliefWeb,1.0
0,2010,GMB,RW002,reliefweb,ReliefWeb,1.0
0,2011,GMB,RW002,reliefweb,ReliefWeb,1.0
1,2012,GMB,RW002,reliefweb,ReliefWeb,1.0
0,2013,GMB,RW002,reliefweb,ReliefWeb,1.0
0,2000,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2001,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2002,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2003,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2004,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2005,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2006,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2007,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2008,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2009,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2010,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2011,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2012,GNB,RW002,reliefweb,ReliefWeb,1.0
0,2013,GNB,RW002,reliefweb,ReliefWeb,1.0
1,2000,GTM,RW002,reliefweb,ReliefWeb,1.0
0,2001,GTM,RW002,reliefweb,ReliefWeb,1.0
2,2002,GTM,RW002,reliefweb,ReliefWeb,1.0
1,2003,GTM,RW002,reliefweb,ReliefWeb,1.0
0,2004,GTM,RW002,reliefweb,ReliefWeb,1.0
2,2005,GTM,RW002,reliefweb,ReliefWeb,1.0
0,2006,GTM,RW002,reliefweb,ReliefWeb,1.0
1,2007,GTM,RW002,reliefweb,ReliefWeb,1.0
2,2008,GTM,RW002,reliefweb,ReliefWeb,1.0
3,2009,GTM,RW002,reliefweb,ReliefWeb,1.0
3,2010,GTM,RW002,reliefweb,ReliefWeb,1.0
4,2011,GTM,RW002,reliefweb,ReliefWeb,1.0
3,2012,GTM,RW002,reliefweb,ReliefWeb,1.0
0,2013,GTM,RW002,reliefweb,ReliefWeb,1.0
0,2000,HND,RW002,reliefweb,ReliefWeb,1.0
0,2001,HND,RW002,reliefweb,ReliefWeb,1.0
1,2002,HND,RW002,reliefweb,ReliefWeb,1.0
1,2003,HND,RW002,reliefweb,ReliefWeb,1.0
0,2004,HND,RW002,reliefweb,ReliefWeb,1.0
0,2005,HND,RW002,reliefweb,ReliefWeb,1.0
0,2006,HND,RW002,reliefweb,ReliefWeb,1.0
0,2007,HND,RW002,reliefweb,ReliefWeb,1.0
1,2008,HND,RW002,reliefweb,ReliefWeb,1.0
0,2009,HND,RW002,reliefweb,ReliefWeb,1.0
0,2010,HND,RW002,reliefweb,ReliefWeb,1.0
2,2011,HND,RW002,reliefweb,ReliefWeb,1.0
1,2012,HND,RW002,reliefweb,ReliefWeb,1.0
1,2013,HND,RW002,reliefweb,ReliefWeb,1.0
0,2000,HTI,RW002,reliefweb,ReliefWeb,1.0
0,2001,HTI,RW002,reliefweb,ReliefWeb,1.0
1,2002,HTI,RW002,reliefweb,ReliefWeb,1.0
1,2003,HTI,RW002,reliefweb,ReliefWeb,1.0
0,2004,HTI,RW002,reliefweb,ReliefWeb,1.0
2,2005,HTI,RW002,reliefweb,ReliefWeb,1.0
2,2006,HTI,RW002,reliefweb,ReliefWeb,1.0
2,2007,HTI,RW002,reliefweb,ReliefWeb,1.0
1,2008,HTI,RW002,reliefweb,ReliefWeb,1.0
2,2009,HTI,RW002,reliefweb,ReliefWeb,1.0
4,2010,HTI,RW002,reliefweb,ReliefWeb,1.0
2,2011,HTI,RW002,reliefweb,ReliefWeb,1.0
3,2012,HTI,RW002,reliefweb,ReliefWeb,1.0
1,2013,HTI,RW002,reliefweb,ReliefWeb,1.0
5,2000,IDN,RW002,reliefweb,ReliefWeb,1.0
3,2001,IDN,RW002,reliefweb,ReliefWeb,1.0
3,2002,IDN,RW002,reliefweb,ReliefWeb,1.0
4,2003,IDN,RW002,reliefweb,ReliefWeb,1.0
7,2004,IDN,RW002,reliefweb,ReliefWeb,1.0
6,2005,IDN,RW002,reliefweb,ReliefWeb,1.0
14,2006,IDN,RW002,reliefweb,ReliefWeb,1.0
11,2007,IDN,RW002,reliefweb,ReliefWeb,1.0
4,2008,IDN,RW002,reliefweb,ReliefWeb,1.0
7,2009,IDN,RW002,reliefweb,ReliefWeb,1.0
7,2010,IDN,RW002,reliefweb,ReliefWeb,1.0
3,2011,IDN,RW002,reliefweb,ReliefWeb,1.0
3,2012,IDN,RW002,reliefweb,ReliefWeb,1.0
3,2013,IDN,RW002,reliefweb,ReliefWeb,1.0
0,2000,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2001,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2002,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2003,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2004,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2005,IRQ,RW002,reliefweb,ReliefWeb,1.0
1,2006,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2007,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2008,IRQ,RW002,reliefweb,ReliefWeb,1.0
1,2009,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2010,IRQ,RW002,reliefweb,ReliefWeb,1.0
1,2011,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2012,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2013,IRQ,RW002,reliefweb,ReliefWeb,1.0
0,2000,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2001,JAM,RW002,reliefweb,ReliefWeb,1.0
1,2002,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2003,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2004,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2005,JAM,RW002,reliefweb,ReliefWeb,1.0
1,2006,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2007,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2008,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2009,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2010,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2011,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2012,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2013,JAM,RW002,reliefweb,ReliefWeb,1.0
0,2000,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2001,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2002,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2003,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2004,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2005,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2006,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2007,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2008,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2009,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2010,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2011,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2012,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2013,JOR,RW002,reliefweb,ReliefWeb,1.0
0,2000,KEN,RW002,reliefweb,ReliefWeb,1.0
0,2001,KEN,RW002,reliefweb,ReliefWeb,1.0
1,2002,KEN,RW002,reliefweb,ReliefWeb,1.0
0,2003,KEN,RW002,reliefweb,ReliefWeb,1.0
1,2004,KEN,RW002,reliefweb,ReliefWeb,1.0
0,2005,KEN,RW002,reliefweb,ReliefWeb,1.0
1,2006,KEN,RW002,reliefweb,ReliefWeb,1.0
4,2007,KEN,RW002,reliefweb,ReliefWeb,1.0
2,2008,KEN,RW002,reliefweb,ReliefWeb,1.0
2,2009,KEN,RW002,reliefweb,ReliefWeb,1.0
3,2010,KEN,RW002,reliefweb,ReliefWeb,1.0
1,2011,KEN,RW002,reliefweb,ReliefWeb,1.0
1,2012,KEN,RW002,reliefweb,ReliefWeb,1.0
2,2013,KEN,RW002,reliefweb,ReliefWeb,1.0
0,2000,KGZ,RW002,reliefweb,ReliefWeb,1.0
0,2001,KGZ,RW002,reliefweb,ReliefWeb,1.0
0,2002,KGZ,RW002,reliefweb,ReliefWeb,1.0
1,2003,KGZ,RW002,reliefweb,ReliefWeb,1.0
2,2004,KGZ,RW002,reliefweb,ReliefWeb,1.0
2,2005,KGZ,RW002,reliefweb,ReliefWeb,1.0
2,2006,KGZ,RW002,reliefweb,ReliefWeb,1.0
0,2007,KGZ,RW002,reliefweb,ReliefWeb,1.0
3,2008,KGZ,RW002,reliefweb,ReliefWeb,1.0
0,2009,KGZ,RW002,reliefweb,ReliefWeb,1.0
1,2010,KGZ,RW002,reliefweb,ReliefWeb,1.0
0,2011,KGZ,RW002,reliefweb,ReliefWeb,1.0
2,2012,KGZ,RW002,reliefweb,ReliefWeb,1.0
0,2013,KGZ,RW002,reliefweb,ReliefWeb,1.0
2,2000,KHM,RW002,reliefweb,ReliefWeb,1.0
1,2001,KHM,RW002,reliefweb,ReliefWeb,1.0
3,2002,KHM,RW002,reliefweb,ReliefWeb,1.0
0,2003,KHM,RW002,reliefweb,ReliefWeb,1.0
0,2004,KHM,RW002,reliefweb,ReliefWeb,1.0
0,2005,KHM,RW002,reliefweb,ReliefWeb,1.0
1,2006,KHM,RW002,reliefweb,ReliefWeb,1.0
0,2007,KHM,RW002,reliefweb,ReliefWeb,1.0
0,2008,KHM,RW002,reliefweb,ReliefWeb,1.0
2,2009,KHM,RW002,reliefweb,ReliefWeb,1.0
1,2010,KHM,RW002,reliefweb,ReliefWeb,1.0
1,2011,KHM,RW002,reliefweb,ReliefWeb,1.0
0,2012,KHM,RW002,reliefweb,ReliefWeb,1.0
1,2013,KHM,RW002,reliefweb,ReliefWeb,1.0
1,2000,LAO,RW002,reliefweb,ReliefWeb,1.0
0,2001,LAO,RW002,reliefweb,ReliefWeb,1.0
1,2002,LAO,RW002,reliefweb,ReliefWeb,1.0
